,hs_max,hs_mean,dir,tp,latitude_left,latitude_left,longitude_left,longitude_left,quality_flag_left,quality_flag_right,d50,width_ci_average,beach_slope_average,beach_slope_median,sl_points_average,mstr,prc_mstr_obs,min_tide_obs,max_tide_obs,site_id,beach_slope,lower_conf_bound,upper_conf_bound,width_ci,sl_points,trend,distance,latitude,longitude
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.758802272501153,-80.12286,-80.13672553888198,Medium,Low,0.809927931657867,0.02955,0.10392857142857144,0.1,517.0,0.9670698642730713,99.20042753359988,-0.4461395795750516,0.5131978603324392,usa_FL_0003,0.145,0.1131,0.2,0.0869,507.0,0.5656185561499694,0.0012606864347470932,25.71207862509928,-80.13479925488996
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.758802272501153,-80.12286,-80.13672553888198,Medium,Low,0.809927931657867,0.02955,0.10392857142857144,0.1,517.0,0.9670698642730713,99.20042753359988,-0.4461395795750516,0.5131978603324392,usa_FL_0003,0.145,0.1143,0.2,0.0857,495.0,0.5935688091733143,0.0009321922299567667,25.712272411067694,-80.13475964862356
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.758802272501153,-80.12286,-80.13672553888198,Medium,Low,0.809927931657867,0.02955,0.10392857142857144,0.1,517.0,0.9670698642730713,99.20042753359988,-0.4461395795750516,0.5131978603324392,usa_FL_0003,0.17,0.1258,0.2,0.0742,523.0,0.5851785442970411,0.000723706314398118,25.712492799451176,-80.13467401226904
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.758802272501153,-80.12286,-80.13672553888198,Medium,Low,0.809927931657867,0.02955,0.10392857142857144,0.1,517.0,0.9670698642730713,99.20042753359988,-0.4461395795750516,0.5131978603324392,usa_FL_0003,0.175,0.1376,0.2,0.0624,531.0,0.49413686988689903,0.0007333020651647502,25.712695901955534,-80.13461626851428
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.758802272501153,-80.12286,-80.13672553888198,Medium,Low,0.809927931657867,0.02955,0.10392857142857144,0.1,517.0,0.9670698642730713,99.20042753359988,-0.4461395795750516,0.5131978603324392,usa_FL_0003,0.125,0.1048,0.1557,0.0509,526.0,0.45795907869470637,0.001153047080083475,25.712981752439596,-80.13449035522092
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.99660825634776,-80.12286,-80.11589546411358,Low,Medium,0.809927931657867,0.0664,0.1356779661016949,0.13,390.0,1.0118962526321411,97.53874875178998,-0.4597144966250493,0.5272764468585929,usa_FL_0005,0.09,0.0717,0.1129,0.0412,381.0,1.1640928641797557,0.001295114627135229,25.83100008467813,-80.12428910502618
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.99660825634776,-80.12286,-80.11589546411358,Low,Medium,0.809927931657867,0.0664,0.1356779661016949,0.13,390.0,1.0118962526321411,97.53874875178998,-0.4597144966250493,0.5272764468585929,usa_FL_0005,0.08,0.0675,0.0986,0.0311,361.0,1.1946187523084204,0.0009102270002871145,25.831226311082496,-80.12428708865349
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.99660825634776,-80.12286,-80.11589546411358,Low,Medium,0.809927931657867,0.0664,0.1356779661016949,0.13,390.0,1.0118962526321411,97.53874875178998,-0.4597144966250493,0.5272764468585929,usa_FL_0005,0.075,0.0633,0.092,0.0287,348.0,1.2183967454813518,0.0006453677689679041,25.83145175552494,-80.12427357904656
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.99660825634776,-80.12286,-80.11589546411358,Low,High,0.809927931657867,0.0664,0.1356779661016949,0.13,390.0,1.0118962526321411,97.53874875178998,-0.4597144966250493,0.5272764468585929,usa_FL_0005,0.065,0.0565,0.0804,0.0239,370.0,1.2263881125102563,0.0006449491184093919,25.831677103893384,-80.12425865706042
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.99660825634776,-80.12286,-80.11589546411358,Low,Medium,0.809927931657867,0.0664,0.1356779661016949,0.13,390.0,1.0118962526321411,97.53874875178998,-0.4597144966250493,0.5272764468585929,usa_FL_0005,0.075,0.0637,0.0939,0.0302,383.0,1.2107680584201177,0.0009043035407815378,25.83190261277702,-80.12424609757107
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.99660825634776,-80.12286,-80.11589546411358,Low,Medium,0.809927931657867,0.0664,0.1356779661016949,0.13,390.0,1.0118962526321411,97.53874875178998,-0.4597144966250493,0.5272764468585929,usa_FL_0005,0.08,0.0694,0.101,0.0316,390.0,1.213774448043752,0.0012738837899795654,25.832128262119774,-80.1242356013661
1,0.5155406670764764,0.42436032268743806,93.52148094965868,5.777091633571591,25.80536,25.758802272501153,-80.12286,-80.13672553888198,Medium,Low,0.809927931657867,0.02955,0.10392857142857144,0.1,517.0,0.9670698642730713,99.20042753359988,-0.4461395795750516,0.5131978603324392,usa_FL_0003,0.145,0.1131,0.2,0.0869,507.0,0.5656185561499694,0.0012606864347470932,25.745411450099283,-80.13479925488996
