,hs_max,hs_mean,dir,tp,latitude_left,latitude_left,longitude_left,longitude_left,d25,d30,d50,d65,d75,width_ci_average,quality_flag_left,beach_slope_average,beach_slope_median,sl_points_average,mstr,prc_mstr_obs,min_tide_obs,max_tide_obs,site_id,beach_slope,lower_conf_bound,upper_conf_bound,width_ci,quality_flag_right,sl_points,trend,distance,latitude,longitude
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.758802272501153,-80.12286,-80.13672553888198,0.644970646641817,0.677962103645027,0.809927931657867,0.916980702446368,1.04847233687727,0.0332,Medium,0.10428571428571429,0.0975,517.0,0.9670698642730713,99.20042753359988,-0.4461395795750516,0.5131978603324392,usa_FL_0003,0.075,0.0673,0.0851,0.0178,High,507.0,0.352006710870941,0.0012606864347470932,25.71207862509928,-80.13479925488996
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.758802272501153,-80.12286,-80.13672553888198,0.644970646641817,0.677962103645027,0.809927931657867,0.916980702446368,1.04847233687727,0.0332,Medium,0.10428571428571429,0.0975,517.0,0.9670698642730713,99.20042753359988,-0.4461395795750516,0.5131978603324392,usa_FL_0003,0.07,0.0621,0.0824,0.0203,High,495.0,0.5245868167991773,0.0009321922299567667,25.712272411067694,-80.13475964862356
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.758802272501153,-80.12286,-80.13672553888198,0.644970646641817,0.677962103645027,0.809927931657867,0.916980702446368,1.04847233687727,0.0332,Medium,0.10428571428571429,0.0975,517.0,0.9670698642730713,99.20042753359988,-0.4461395795750516,0.5131978603324392,usa_FL_0003,0.07,0.0635,0.0827,0.0192,High,523.0,0.5766617223259404,0.000723706314398118,25.712492799451176,-80.13467401226904
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.758802272501153,-80.12286,-80.13672553888198,0.644970646641817,0.677962103645027,0.809927931657867,0.916980702446368,1.04847233687727,0.0332,Medium,0.10428571428571429,0.0975,517.0,0.9670698642730713,99.20042753359988,-0.4461395795750516,0.5131978603324392,usa_FL_0003,0.09,0.0748,0.1074,0.0326,Medium,531.0,0.5951379922760749,0.0007333020651647502,25.712695901955534,-80.13461626851428
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.758802272501153,-80.12286,-80.13672553888198,0.644970646641817,0.677962103645027,0.809927931657867,0.916980702446368,1.04847233687727,0.0332,Medium,0.10428571428571429,0.0975,517.0,0.9670698642730713,99.20042753359988,-0.4461395795750516,0.5131978603324392,usa_FL_0003,0.11,0.0941,0.139,0.0449,Medium,526.0,0.6558348435041119,0.001153047080083475,25.712981752439596,-80.13449035522092
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,25.80536,25.99660825634776,-80.12286,-80.11589546411358,0.644970646641817,0.677962103645027,0.809927931657867,0.916980702446368,1.04847233687727,0.0732,Low,0.1341373801916933,0.13,390.0,1.0118962526321411,97.53874875178998,-0.4597144966250493,0.5272764468585929,usa_FL_0005,0.165,0.1101,0.2,0.0899,Low,381.0,0.1505612210344457,0.001295114627135229,25.83100008467813,-80.12428910502618
1,0.5155406670764764,0.42436032268743806,93.52148094965868,5.777091633571591,25.80536,25.758802272501153,-80.12286,-80.13672553888198,0.644970646641817,0.677962103645027,0.809927931657867,0.916980702446368,1.04847233687727,0.0332,Medium,0.10428571428571429,0.0975,517.0,0.9670698642730713,99.20042753359988,-0.4461395795750516,0.5131978603324392,usa_FL_0003,0.075,0.0673,0.0851,0.0178,High,507.0,0.352006710870941,0.0012606864347470932,25.745411450099283,-80.13479925488996
1,0.5155406670764764,0.42436032268743806,93.52148094965868,5.777091633571591,25.80536,25.758802272501153,-80.12286,-80.13672553888198,0.644970646641817,0.677962103645027,0.809927931657867,0.916980702446368,1.04847233687727,0.0332,Medium,0.10428571428571429,0.0975,517.0,0.9670698642730713,99.20042753359988,-0.4461395795750516,0.5131978603324392,usa_FL_0003,0.07,0.0621,0.0824,0.0203,High,495.0,0.5245868167991773,0.0009321922299567667,25.74560523606769,-80.13475964862356
1,0.5155406670764764,0.42436032268743806,93.52148094965868,5.777091633571591,25.80536,25.758802272501153,-80.12286,-80.13672553888198,0.644970646641817,0.677962103645027,0.809927931657867,0.916980702446368,1.04847233687727,0.0332,Medium,0.10428571428571429,0.0975,517.0,0.9670698642730713,99.20042753359988,-0.4461395795750516,0.5131978603324392,usa_FL_0003,0.07,0.0635,0.0827,0.0192,High,523.0,0.5766617223259404,0.000723706314398118,25.74582562445118,-80.13467401226904
1,0.5155406670764764,0.42436032268743806,93.52148094965868,5.777091633571591,25.80536,25.758802272501153,-80.12286,-80.13672553888198,0.644970646641817,0.677962103645027,0.809927931657867,0.916980702446368,1.04847233687727,0.0332,Medium,0.10428571428571429,0.0975,517.0,0.9670698642730713,99.20042753359988,-0.4461395795750516,0.5131978603324392,usa_FL_0003,0.09,0.0748,0.1074,0.0326,Medium,531.0,0.5951379922760749,0.0007333020651647502,25.74602872695553,-80.13461626851428
