,Unnamed: 0,beach_id,beach_slope_average,width_ci_average,quality_flag,mstr,hsig_median,prc_mstr_obs,min_tide_obs,max_tide_obs,sl_points_average,beach_length,coastal_region,primary_comp_id,secondary_comp_id,d50,distance_to_sample,latitude,longitude,hs_mean,hs_max,tp,dir,Wdir_weighted_mean,geometry,dataset_left,index_right,ID_Region,Descriptio,dataset_right
572,934,aus3239,0.0426447567806323,0.0193,High,3.235929489135742,0.072000004351139,114.64,-1.7865528215481186,1.922974374600544,695.0,3670.217455254055,Western Cape York Peninsula,QLD02.01,QLD02.01.01,0.36349,0.0,-17.196908118454225,140.92825274524475,0.4634087547147488,2.11998052835017,3.3189917872737555,202.9689641539116,195.8788607325983,POINT (140.92825274524475 -17.196908118454225),Short (2022),1,6,Carpentaria Gulf Coasts,Short (2022)
573,936,aus3242,0.0279324773189711,0.0036,High,3.137380361557007,0.1460000127553939,117.34,-1.832197916660198,1.8491749125954344,916.0,8079.111316595681,Western Cape York Peninsula,QLD02.01,QLD02.01.01,0.18946,141.85639162043418,-17.014478822285938,140.95448626242836,0.4634087547147488,2.11998052835017,3.3189917872737555,202.9689641539116,195.8788607325983,POINT (140.95448626242836 -17.014478822285938),Short (2022),1,6,Carpentaria Gulf Coasts,Short (2022)
574,937,aus3243,0.0438986469332876,0.0062,High,3.0552473068237305,0.1020000055432319,116.33,-1.7664099092041874,1.7877963035682531,1020.0,13266.03004525248,Western Cape York Peninsula,QLD02.01,QLD02.01.01,0.25882,46.47810967009389,-16.924829455234427,141.02227401214586,0.4634087547147488,2.11998052835017,3.3189917872737555,202.9689641539116,195.8788607325983,POINT (141.02227401214586 -16.924829455234427),Short (2022),1,6,Carpentaria Gulf Coasts,Short (2022)
575,938,aus3244,0.0292290130213611,0.00195,High,3.011953830718994,0.1940000057220459,115.67,-1.7292028804066744,1.754650454339255,877.5,2760.782751611669,Western Cape York Peninsula,QLD02.01,QLD02.01.01,0.25882,38.77707626983093,-16.865345410916888,141.06693482059106,0.4634087547147488,2.11998052835017,3.3189917872737555,202.9689641539116,195.8788607325983,POINT (141.06693482059106 -16.865345410916888),Short (2022),1,6,Carpentaria Gulf Coasts,Short (2022)
576,939,aus3245,0.0369569799102102,0.0059,High,3.011953830718994,0.1000000014901161,115.67,-1.7292028804066744,1.754650454339255,819.0,2922.323965394764,Western Cape York Peninsula,QLD02.01,QLD02.01.01,0.25882,118.6597809134869,-16.832545456412838,141.07609620411122,0.4634087547147488,2.11998052835017,3.3189917872737555,202.9689641539116,195.8788607325983,POINT (141.07609620411122 -16.832545456412838),Short (2022),1,6,Carpentaria Gulf Coasts,Short (2022)
577,940,aus3246,0.045237960125769,0.0228,High,3.011953830718994,0.1000000014901161,113.66,-1.6687158012533092,1.754650454339255,933.0,1043.938167999302,Western Cape York Peninsula,QLD02.01,QLD02.01.01,0.25703,221.6175710234009,-16.812497624882468,141.08044750081518,0.4634087547147488,2.11998052835017,3.3189917872737555,202.9689641539116,195.8788607325983,POINT (141.08044750081518 -16.812497624882468),Short (2022),1,6,Carpentaria Gulf Coasts,Short (2022)
578,941,aus3247,0.0263872588740148,0.0052,High,3.011953830718994,0.1000000014901161,115.7,-1.7295810473191593,1.7552833995414927,799.0,676.3301994740159,Western Cape York Peninsula,QLD02.01,QLD02.01.01,0.22846,539.3699366343635,-16.807964345304644,141.0956945424921,0.4634087547147488,2.11998052835017,3.3189917872737555,202.9689641539116,195.8788607325983,POINT (141.0956945424921 -16.807964345304644),Short (2022),1,6,Carpentaria Gulf Coasts,Short (2022)
579,942,aus3248,0.0625440829589031,0.0154,High,3.011953830718994,0.1000000014901161,115.67,-1.7292028804066744,1.754650454339255,1033.0,6804.205214426596,Western Cape York Peninsula,QLD02.01,QLD02.01.01,0.22846,527.9647595028263,-16.785761534384594,141.11922149367342,0.4634087547147488,2.11998052835017,3.3189917872737555,202.9689641539116,195.8788607325983,POINT (141.11922149367342 -16.785761534384594),Short (2022),1,6,Carpentaria Gulf Coasts,Short (2022)
580,943,aus3249,0.0421607685747264,0.00455,High,2.953902244567871,0.0800000056624412,114.1,-1.667322870688721,1.703110204091398,925.5,2396.265362810694,Western Cape York Peninsula,QLD02.01,QLD02.01.01,0.22846,25.560390558754165,-16.755449991008376,141.1540829903885,0.4634087547147488,2.11998052835017,3.3189917872737555,202.9689641539116,195.8788607325983,POINT (141.1540829903885 -16.755449991008376),Short (2022),1,6,Carpentaria Gulf Coasts,Short (2022)
581,944,aus3250,0.0719285531039548,0.0228,High,2.953902244567871,0.0800000056624412,114.1,-1.667322870688721,1.703110204091398,832.0,5141.2211932537,Western Cape York Peninsula,QLD02.01,QLD02.01.01,0.22846,0.0,-16.72861502066817,141.1773565742255,0.4703806262787645,2.171138707762064,3.515715124885329,199.2149885393029,232.41875524856883,POINT (141.1773565742255 -16.72861502066817),Short (2022),1,6,Carpentaria Gulf Coasts,Short (2022)
