,hs_max,hs_mean,dir,tp,latitude_left,latitude_left,longitude_left,longitude_left,d25,d30,d50,d65,d75,width_ci_average,quality_flag_left,beach_slope_average,beach_slope_median,sl_points_average,mstr,prc_mstr_obs,min_tide_obs,max_tide_obs,site_id,beach_slope,lower_conf_bound,upper_conf_bound,width_ci,quality_flag_right,sl_points,trend,distance,latitude,longitude
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,26.29459,26.176686979307938,-80.07762,-80.09591445066503,0.379159164165976,0.398646376983928,0.476595228255736,0.53963769840669,0.617060912382959,0.0849,Low,0.14266435986159168,0.145,393.0,1.0574862957000732,98.07936094448876,-0.4894090069282918,0.5477667939698868,usa_FL_0006,0.105,0.0836,0.1407,0.0571,Low,406.0,-0.05795693905930628,0.0004526035704669025,25.92139775356786,-80.11457766284859
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,26.29459,26.176686979307938,-80.07762,-80.09591445066503,0.379159164165976,0.398646376983928,0.476595228255736,0.53963769840669,0.617060912382959,0.0849,Low,0.14266435986159168,0.145,393.0,1.0574862957000732,98.07936094448876,-0.4894090069282918,0.5477667939698868,usa_FL_0006,0.115,0.0913,0.1598,0.0685,Low,394.0,-0.12971495403034958,0.00010010114018188885,25.92161933604909,-80.11452727268623
0,0.5862837014217532,0.48349321372935844,95.51347134013028,5.683103628109475,26.29459,26.176686979307938,-80.07762,-80.09591445066503,0.379159164165976,0.398646376983928,0.476595228255736,0.53963769840669,0.617060912382959,0.0849,Low,0.14266435986159168,0.145,393.0,1.0574862957000732,98.07936094448876,-0.4894090069282918,0.5477667939698868,usa_FL_0006,0.1,0.0831,0.1327,0.0496,Medium,379.0,-0.10809864577189317,0.0004702276724009909,25.921842562741418,-80.11449030902136
1,0.5155406670764764,0.42436032268743806,93.52148094965868,5.777091633571591,26.29459,26.176686979307938,-80.07762,-80.09591445066503,0.379159164165976,0.398646376983928,0.476595228255736,0.53963769840669,0.617060912382959,0.0849,Low,0.14266435986159168,0.145,393.0,1.0574862957000732,98.07936094448876,-0.4894090069282918,0.5477667939698868,usa_FL_0006,0.105,0.0836,0.1407,0.0571,Low,406.0,-0.05795693905930628,0.0004526035704669025,25.954730578567855,-80.11457766284859
1,0.5155406670764764,0.42436032268743806,93.52148094965868,5.777091633571591,26.29459,26.176686979307938,-80.07762,-80.09591445066503,0.379159164165976,0.398646376983928,0.476595228255736,0.53963769840669,0.617060912382959,0.0849,Low,0.14266435986159168,0.145,393.0,1.0574862957000732,98.07936094448876,-0.4894090069282918,0.5477667939698868,usa_FL_0006,0.115,0.0913,0.1598,0.0685,Low,394.0,-0.12971495403034958,0.00010010114018188885,25.954952161049093,-80.11452727268623
1,0.5155406670764764,0.42436032268743806,93.52148094965868,5.777091633571591,26.29459,26.176686979307938,-80.07762,-80.09591445066503,0.379159164165976,0.398646376983928,0.476595228255736,0.53963769840669,0.617060912382959,0.0849,Low,0.14266435986159168,0.145,393.0,1.0574862957000732,98.07936094448876,-0.4894090069282918,0.5477667939698868,usa_FL_0006,0.1,0.0831,0.1327,0.0496,Medium,379.0,-0.10809864577189317,0.0004702276724009909,25.95517538774142,-80.11449030902136
2,0.43609945863886135,0.3626989273570316,83.69691489332388,6.142300943229996,26.29459,26.176686979307938,-80.07762,-80.09591445066503,0.379159164165976,0.398646376983928,0.476595228255736,0.53963769840669,0.617060912382959,0.0849,Low,0.14266435986159168,0.145,393.0,1.0574862957000732,98.07936094448876,-0.4894090069282918,0.5477667939698868,usa_FL_0006,0.105,0.0836,0.1407,0.0571,Low,406.0,-0.05795693905930628,0.0004526035704669025,25.988064353567857,-80.11457766284859
2,0.43609945863886135,0.3626989273570316,83.69691489332388,6.142300943229996,26.29459,26.176686979307938,-80.07762,-80.09591445066503,0.379159164165976,0.398646376983928,0.476595228255736,0.53963769840669,0.617060912382959,0.0849,Low,0.14266435986159168,0.145,393.0,1.0574862957000732,98.07936094448876,-0.4894090069282918,0.5477667939698868,usa_FL_0006,0.115,0.0913,0.1598,0.0685,Low,394.0,-0.12971495403034958,0.00010010114018188885,25.988285936049092,-80.11452727268623
2,0.43609945863886135,0.3626989273570316,83.69691489332388,6.142300943229996,26.29459,26.176686979307938,-80.07762,-80.09591445066503,0.379159164165976,0.398646376983928,0.476595228255736,0.53963769840669,0.617060912382959,0.0849,Low,0.14266435986159168,0.145,393.0,1.0574862957000732,98.07936094448876,-0.4894090069282918,0.5477667939698868,usa_FL_0006,0.1,0.0831,0.1327,0.0496,Medium,379.0,-0.10809864577189317,0.0004702276724009909,25.98850916274142,-80.11449030902136
3,0.40466194078657414,0.3337394803281405,84.70841024224472,5.996292719901714,26.29459,26.176686979307938,-80.07762,-80.09591445066503,0.379159164165976,0.398646376983928,0.476595228255736,0.53963769840669,0.617060912382959,0.0849,Low,0.14266435986159168,0.145,393.0,1.0574862957000732,98.07936094448876,-0.4894090069282918,0.5477667939698868,usa_FL_0006,0.105,0.0836,0.1407,0.0571,Low,406.0,-0.05795693905930628,0.0004526035704669025,26.021398133567857,-80.11457766284859
